simulation_name,start_date,duration_days,cycle_duration_minutes,starting_capital,strategy,calibration_profile,data_source
sim1,2025-01-01,30,1440,100,daily_rebalance,realistic_baseline,binance_historical
sim2,2025-02-01,30,1440,100,daily_rebalance,realistic_baseline,binance_historical
sim3,2025-03-01,30,1440,100,daily_rebalance,realistic_baseline,binance_historical
sim4,2025-04-01,30,1440,100,daily_rebalance,realistic_baseline,binance_historical
sim5,2025-05-01,30,1440,100,daily_rebalance,realistic_baseline,binance_historical
sim6,2025-06-01,30,1440,100,daily_rebalance,realistic_baseline,binance_historical
sim7,2025-07-01,30,1440,100,daily_rebalance,realistic_baseline,binance_historical
sim8,2025-08-01,30,1440,100,daily_rebalance,realistic_baseline,binance_historical
